,가수,노래제목
0,(여자)아이들,퀸카 (Queencard)
1,IVE (아이브),I AM
2,aespa,Spicy
3,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
4,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
5,IVE (아이브),Kitsch
6,임영웅,사랑은 늘 도망가
7,임영웅,모래 알갱이
8,박재정,헤어지자 말해요
9,임영웅,우리들의 블루스
10,임영웅,다시 만날 수 있을까
11,NewJeans,Hype boy
12,임영웅,무지개
13,임영웅,London Boy
14,임영웅,이제 나만 믿어요
15,임영웅,Polaroid
16,임영웅,아버지
17,지수 (JISOO),꽃
18,세븐틴 (SEVENTEEN),손오공
19,임영웅,인생찬가
20,임영웅,A bientot
21,NewJeans,Ditto
22,임영웅,손이 참 곱던 그대
23,임영웅,사랑해 진짜
24,임영웅,연애편지
25,FIFTY FIFTY,Cupid
26,임영웅,보금자리
27,NewJeans,OMG
28,윤하 (YOUNHA),사건의 지평선
29,Charlie Puth,I Don't Think That I Like Her
30,Charlie Puth,Dangerously
31,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
32,(여자)아이들,Allergy
33,IVE (아이브),After LIKE
34,방탄소년단,Dynamite
35,허각,물론
36,NCT DREAM,Candy
37,NewJeans,Attention
38,DK(디셈버),심(心)
39,방탄소년단,Take Two
40,STAYC(스테이씨),Teddy Bear
41,IVE (아이브),LOVE DIVE
42,임한별,사랑하지 않아서 그랬어
43,지아,사랑..그게 뭔데
44,방탄소년단,Butter
45,지민,Like Crazy
46,Agust D,사람 Pt.2 (feat. 아이유)
47,LE SSERAFIM (르세라핌),ANTIFRAGILE
48,이무진,잠깐 시간 될까
49,방탄소년단,봄날
50,탑현,나에게 그대만이
51,멜로망스,사랑인가 봐
52,NCT DREAM,Broken Melodies
53,임재현,Heaven(2023)
54,던 (DAWN),빛이 나는 너에게
55,SHINee (샤이니),HARD
56,케이시 (Kassy),사실말야내가말야그게그러니까말이야
57,방탄소년단,Permission to Dance
58,성시경,너의 모든 순간
59,방탄소년단,The Planet
60,"Fast & Furious: The Fast Saga, 지민","Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)"
61,imase,NIGHT DANCER
62,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
63,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
64,멜로망스,찬란한 하루
65,경서,첫 키스에 내 심장은 120BPM
66,제이세라,사랑의 바보
67,Charlie Puth,That's Hilarious
68,이채연,KNOCK
69,aespa,Thirsty
70,김호중,그중에 그대를 만나
71,"The Kid LAROI, Justin Bieber",STAY
72,지아,사랑하지 않아서 그랬니
73,(여자)아이들,TOMBOY
74,"j-hope, J. Cole",on the street (with J. Cole)
75,(여자)아이들,Nxde
76,10CM,부동의 첫사랑
77,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
78,#안녕,해요 (2022)
79,김민석 (멜로망스),취중고백
80,V.O.S,안녕이라고 말하지마
81,이홍기 (FT아일랜드),한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드))
82,비투비,나의 바람 (Wind And Wish)
83,지아,사랑하기 싫어
84,테이,Monologue
85,"경서예지, 전건호",다정히 내 이름을 부르면
86,Zior Park,CHRISTIAN
87,IVE (아이브),ELEVEN
88,10CM,그라데이션
89,폴킴,한강에서 (Feat. BIG Naughty)
90,볼빨간사춘기,FRIEND THE END
91,NMIXX,Love Me Like This
92,"김호중, 송가인",당신을 만나
93,주호,내가 아니라도
94,LE SSERAFIM (르세라핌),FEARLESS
95,BLACKPINK,Shut Down
96,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM)
97,김호중,나의 목소리로
98,Lauv,Steal The Show (From “엘리멘탈”)
99,잔나비,주저하는 연인들을 위해
